epoch,train_loss,val_loss,Acc,Kappa,mIoU,mIoU0,mIoU1,mIoU2,FWIoU,Precision,Precision0,Precision1,Precision2,Recall,Recall0,Recall1,Recall2,F1_score,F1_score0,F1_score1,F1_score2,F2_score,F2_score0,F2_score1,F2_score2
1,1.0465488396584988,0.8115215674042702,0.7554880777994791,0.48429720677477367,0.4654317964968237,0.7654759876764027,0.5082424053279002,0.12257699648616803,0.6836663531892125,0.5841382088162413,0.961709829138449,0.6471503416216013,0.1435544556886734,0.6495954496991844,0.7895389094249261,0.7030721797284198,0.4561752599442071,0.5864997466912786,0.8671610247306051,0.6739532050927416,0.21838501025048887,0.6092526410475213,0.8188582672018734,0.6911277706090313,0.3177718853316592
2,0.8110759072005749,0.6744541078805923,0.7975595867823041,0.5633539932657787,0.5278038883979722,0.8025834732441451,0.6206393957183586,0.16018879623141297,0.7342337680395025,0.6391543444004374,0.9731847080843812,0.761849562686915,0.18242876243001588,0.7195372343245596,0.8207336007051049,0.7700325016495198,0.5678456006190541,0.6441810462603366,0.8904813349096191,0.765919171540037,0.2761426323313536,0.6716128011383197,0.8472791548789127,0.7683818792668919,0.39917736926915426
3,0.6811556555330753,0.5872221402823925,0.8014429485987103,0.5826753382109977,0.5546027247952473,0.7934552699606882,0.6912825857784908,0.17907031864656303,0.7409017981207919,0.6622768223653609,0.9816146955992268,0.8085220810418355,0.19669369045502055,0.7661814668528407,0.8054248033893872,0.8266089945667668,0.6665106026023683,0.6686826691577288,0.8848341843931529,0.8174654990994389,0.3037483239805943,0.7031277475896118,0.8354144889692326,0.822927160522167,0.451041593277436
4,0.6236735424026847,0.5304349474608898,0.8086667742047992,0.5998541587953683,0.5722982586684869,0.7949494200992651,0.7259911787486567,0.195954177157539,0.7491812753002574,0.6754567865607527,0.9857361467261044,0.8289932151671824,0.21164099778897166,0.794540894299374,0.8042002324518099,0.8538654426279362,0.7255570078183761,0.6849010376924568,0.8857624696901892,0.8412455212673391,0.32769512211984225,0.7240344042940435,0.8349537109454366,0.8487723089251612,0.48837719301153276
5,0.5671572303399444,0.4970243610441685,0.8249477810329862,0.6257150841597112,0.5895530623484683,0.8114031225467511,0.747120720389149,0.21013534410950482,0.7663421873298619,0.6845079113059015,0.9845146234991029,0.8401887397918754,0.22882037062672653,0.8043080911259436,0.8218925385625976,0.8708806127796377,0.7201511220355956,0.6994784138921313,0.895883536861909,0.8552594074396197,0.3472922973748652,0.7394444925486113,0.8499722118199144,0.86456415065852,0.5037971151673994
6,0.5385570167563856,0.47650668025016785,0.8270383562360492,0.6305783223819933,0.5956496265560186,0.8134729215850897,0.7565100637780915,0.2169658943048744,0.7699837867772941,0.691555116165393,0.9859310309810975,0.8550262872949534,0.23370803022012823,0.814210899586949,0.8230266465560583,0.8678259464713852,0.7517801057334036,0.7050302822764333,0.8971437151398413,0.8613785653580319,0.35656856633142703,0.7457490009218674,0.8511536972802916,0.8652354465907043,0.5208578588946062
7,0.5132095729932189,0.45276764780282974,0.8336818634517609,0.6431646411608473,0.6048588952877106,0.8179229978407554,0.7711445073078737,0.22550918071450288,0.7764794563149495,0.6948350974066687,0.9870560695961885,0.8540299010131047,0.2434193216107127,0.8229994888421507,0.826791138616907,0.8882141470421326,0.7539931808674127,0.7128851073640786,0.8998433864392711,0.8707866576667432,0.36802527798622175,0.7556228673050982,0.8545409162924968,0.8811601076724319,0.5311675779503657
8,0.5016175559721887,0.43956467136740685,0.8368179079086061,0.6489078744599006,0.6097515609038787,0.8212167358699344,0.7770478164556399,0.23099013038606167,0.7803609451277489,0.6988866087298747,0.9875110874645451,0.8606505389171181,0.24849819980796078,0.8283301823780039,0.8298352483168278,0.8888807431120669,0.7662745557051169,0.7172208458573146,0.9018330604774485,0.874537876604824,0.37529160048967153,0.7603914994805653,0.8572093605456323,0.8830875091780368,0.5408776287180269
9,0.46400014869868755,0.4222360737621784,0.8282218812003969,0.6375361134176732,0.6064640535512623,0.8099506780144845,0.7814610087418709,0.22798047389743162,0.7723533730888791,0.7000896094639301,0.9905614840299688,0.8685808603692847,0.24112648399253656,0.8365035798783497,0.8162501496513302,0.8862489783838235,0.8070116115998951,0.7145443609731975,0.8949975083522586,0.8773259705982166,0.3713096039691172,0.7593024326785655,0.846025552154201,0.8826580827721345,0.549223663109361
10,0.4604235300794244,0.41230161115527153,0.8374213566855778,0.6522762717796563,0.6147682721403368,0.8196303951672851,0.7881404285326307,0.23653399272109465,0.781434912221793,0.7024836353079787,0.9898655565477853,0.8653691597310731,0.25221618964507825,0.8388994377001747,0.8265665627766178,0.8982843636383384,0.7918473866855678,0.7216570310465166,0.9008756864380957,0.8815196071715622,0.3825757995298922,0.766940257054645,0.8547689588319362,0.8915025189699013,0.5545492933620976
11,0.4569094106554985,0.40081170573830605,0.8321251036628844,0.6453031567227837,0.6131880873266031,0.8124379742739515,0.7926037667946257,0.2345225209112323,0.7766113550201148,0.7036807772735237,0.9917018677556235,0.871958127924417,0.24738233614053107,0.8445215551176141,0.8179988363175825,0.8970054766772834,0.8185603523579763,0.7202529577575643,0.8965139566887059,0.8843044703975806,0.3799404461864064,0.7665174119640407,0.8476946818706697,0.8918815432535289,0.5599760107679237
