epoch,train_loss,val_loss,Acc,Kappa,mIoU,mIoU0,mIoU1,mIoU2,FWIoU,Precision,Precision0,Precision1,Precision2,Recall,Recall0,Recall1,Recall2,F1_score,F1_score0,F1_score1,F1_score2,F2_score,F2_score0,F2_score1,F2_score2
1,0.7118361638858914,0.5452860482037067,0.8241258651491196,0.6168344143773521,0.5713527144059023,0.8254594480546092,0.6844341544453773,0.20416454071772036,0.7655885565880546,0.67482222444595,0.9825019358727657,0.8168538740194418,0.2251108634456423,0.7777363516854173,0.8377757439430552,0.808504326765122,0.6869289843480749,0.6853801556626077,0.9043854076292971,0.8126576493692178,0.33909740998930815,0.7201486867208381,0.8632064466583638,0.8101605509484852,0.48707906255566574
2,0.5418879985809326,0.5024260841310024,0.8210053216843378,0.617560680387793,0.5746867670903696,0.8205006801022607,0.6864194061733881,0.2171402149954598,0.7628706097771033,0.6795405474910498,0.9899306159342478,0.8156018751959008,0.23308915134300096,0.800103531971129,0.8274061917456992,0.8125147642204898,0.7603896399471983,0.6907534828702798,0.9014011195440145,0.814055387935664,0.3568039411311614,0.7307169812362911,0.855496873238984,0.8131303134142861,0.5235237570556035
3,0.5103148412890732,0.519604779779911,0.8438701326884921,0.6507077709516101,0.5895668212428464,0.8479097950547012,0.6921323358490201,0.22865833282481787,0.7855212639551217,0.6832217725964518,0.9841214578842238,0.8096339500538182,0.2559099098513132,0.789531652912543,0.8596707813072559,0.8266619421161099,0.6822622353142632,0.7026545289191413,0.9176960831368658,0.8180593408161225,0.3722081628044355,0.7389742408833105,0.8819775177597005,0.8231992812290477,0.5117459236611835
4,0.5008576735854149,0.48609617352485657,0.8187014867389013,0.6166555553126212,0.5748324716958362,0.8123644362393699,0.6982276187308424,0.2139053601172962,0.7585663257808222,0.6741502480810949,0.9920195533797174,0.7995084690664439,0.2309227217971237,0.8026350714525284,0.8177083110932083,0.8464324212778551,0.7437644819865221,0.6903986151408487,0.8964691819225258,0.8223015652171987,0.3524250982828216,0.7330387286867627,0.8474914496278505,0.8366120989088754,0.5150126375235624
5,0.49442307371646166,0.481960017234087,0.7802499438089038,0.5632764586659159,0.548872769247223,0.7641910878532135,0.6927425850589831,0.18968463482947198,0.7193468669889767,0.6672080186009799,0.995822819680941,0.8071168501018644,0.19868438602013433,0.8013534017133686,0.7666486215234434,0.8301788812590113,0.8072327023576511,0.6679012014461462,0.8663359528102215,0.8184854412507473,0.31888221027747005,0.7098948726462849,0.8036377369142853,0.8254616385747446,0.5005852424498249
6,0.4901762534864247,0.4884095676243305,0.8254698496016245,0.6254630332658031,0.579257701226786,0.8240999624696713,0.6919995153531239,0.2216736258575629,0.766875464236532,0.6799399376475775,0.9904804774451375,0.8102870289147013,0.23905230658289392,0.8031706069423481,0.8306793055419149,0.8257930592550958,0.7530394560300336,0.6948123203434329,0.9035688557646525,0.8179665594987873,0.3629015457668589,0.7358716207134054,0.8583768985511534,0.8226445552793988,0.5265934083096641
7,0.4865664569661021,0.4777815118432045,0.8001534598214286,0.5900977536128513,0.5619724117754766,0.7902823638497449,0.6920644116625346,0.2035704598141504,0.7399805164479026,0.6718480034988162,0.9942103060671375,0.8060396236634954,0.21529408076581605,0.8044131308157719,0.7939361676385898,0.8303451908691273,0.7889580339395988,0.6797157561244092,0.8828577830938296,0.8180118944211118,0.3382775908582861,0.7224372952678527,0.8272650909159905,0.8253675115624642,0.5146792833251037
8,0.48663565795868635,0.4883543998003006,0.8247341579861112,0.6236260662888649,0.5781089919223001,0.8253448918483417,0.6866222944530904,0.2223597894654684,0.7669077744458096,0.681884671505239,0.9902653634702216,0.8167972619397326,0.23859138910576266,0.803145843259919,0.8320960311597397,0.8116153346963934,0.765726163923624,0.69411173897203,0.9043166483278815,0.8141980483653264,0.36382052022288225,0.7344215147504712,0.8595543538795657,0.812646451438741,0.5310637389331065
9,0.4785895342938602,0.4785936176776886,0.8121517120845734,0.6066587649191557,0.5701602296885644,0.8067747036890637,0.6902599454062371,0.2134460399703923,0.7528390016914168,0.6762919246091252,0.9928386117072862,0.8090288276216646,0.22700833449842492,0.8058093372063042,0.8114970494372082,0.8246200673927269,0.7813108947889775,0.6872022037558261,0.8930551192359331,0.8167500425682455,0.3518014494632996,0.7295561160564832,0.8422649155134869,0.8214539272213367,0.5249495054346262
10,0.47681549470871687,0.4940752424299717,0.8302566286117311,0.6314930423570837,0.5813707762049501,0.8320946714558528,0.6857510979359434,0.2262665592230544,0.7721391221076229,0.6822059480130438,0.9889891079231307,0.8128209419287784,0.24480779418722254,0.8011474048105333,0.8398753698977595,0.8143509580791172,0.749215886454723,0.6969906034382717,0.908353350806757,0.8135852256732472,0.36903323383481074,0.736869260193679,0.8659890770505994,0.8140444922152645,0.5305742113151732
